Arizona| Grand Canyon National Park
California| Death Valley National Park
California | Griffith Observatory, Los Angeles
California | J. Paul Getty Museum, Los Angeles
California | Warner Brothers Studio Tour, Burbank
California | Fisherman's Wharf, San Francisco
California | Golden Gate National Recreation Area, San Francisco Bay
California | Alcatraz Prison, San Francisco Bay
California | The Hearst Castle
California | San Diego Air & Space Museum
California | Yosemite National Park
Connecticut| Mystic Seaport Maritime Museum
Connecticut| USS Nautilus Submarine and Museum, Groton
Delaware  |  Du Pont Nemours Mansion & Gardens, Wilmington
Delaware  |  Historical Society of Delaware Museums, Wilmington
Florida | Castillo de San Marcos, St. Augustine
Florida | NASA's Kennedy Space Center
Florida | Florida Museum of Natural History
Florida | Winter Estates of Thomas Edison and Henry Ford, Fort Meyers
Georgia | Chickamauga and Chattanooga National Military Park
Georgia | National Center for Civil and Human Rights, Atlanta
Hawaii  | USS Arizona Memorial, Pearl Harbor
Illinois|  Abraham Lincoln Presidential Library and Museum, Springfield
Illinois| Lincoln's Home, Springfield
Illinois|   Frank Lloyd Wright Home & Studio, Oak Park
Indiana | Abraham Lincoln Boyhood National Memorial, Lincoln City
Louisiana |  National World War II Museum, New Orleans
Louisiana | Oak Alley Plantation, Vacherie
Maine  | Maine Maritime Museum, Bath
Maine  | Museums of Old York
Maine  | Seashore Trolley Museum, Kennebunkport
Maryland |   Antietam (Civil War) National Battlefield
Maryland |  Fort McHenry National Monument
Maryland | Baltimore & Ohio Railroad Museum, Baltimore
Massachusetts  | The Freedom Trail, Boston
Massachusetts  |  Boston Tea Party Ships and Museum, Boston
Massachusetts  | USS Constitution Ship "Old Ironsides," Boston
Massachusetts  | USS Constitution Ship Museum, Boston
Massachusetts  | The Paul Revere House, Boston
Massachusetts  | John F. Kennedy Presidential Library, Boston
Massachusetts  | Museum of Fine Arts, Boston
Massachusetts  | Harvard University, Cambridge
Massachusetts  |Longfellow National Historic Site, Cambridge
Massachusetts  | Adams National Historic Site, Quincy
Massachusetts  | Minute Man National Historic Park, Concord
Massachusetts  | Historic Salem
Massachusetts  | Peabody-Essex Museum, Salem
Massachusetts  | Lowell National Historical Park
Massachusetts  | Old Sturbridge Village, Sturbridge  (View Slideshow)
Massachusetts  | Higgins Armory Museum, Worcester
Massachusetts  | Historic Deerfield
Massachusetts  | Plimoth Plantation, Plymouth  (View Slideshow)
Massachusetts  | Pilgrim Hall Museum, Plymouth
Massachusetts  |Cape Cod National Seashore
Massachusetts  |Battleship Cove, Fall River
Michigan  |Henry Ford Museum, Dearborn
Michigan   |Gerald R. Ford Museum, Grand Rapids
Mississippi |Vicksburg National Military Park
Mississippi |Shiloh National Military Park
Missouri    |Harry S. Truman Presidential Library, Independence
Missouri    |National World War I Museum, Kansas City
Nevada  |Hoover Dam
New Hampshire   |Museum of New Hampshire History, Concord
New Jersey  |Battleship USS New Jersey, Camden
New Jersey  |Morristown National Historical Park
New Jersey  |Thomas Edison National Historic Site, West Orange
New Mexico  |Bradbury Science Museum, Los Alamos
New Mexico  |National Museum of Nuclear Science & History, Albuquerque
New York    |Ellis Island Immigration Museum, New York Harbor
New York    |Statue of Liberty, New York Harbor
New York    |Intrepid Sea-Air-Space Museum, New York Harbor
New York    |National September 11 Memorial & Museum
New York    |South Street Seaport Museum, New York
New York    |Empire State Building, New York
New York    |American Museum of Natural History, New York
New York    |Metropolitan Museum of Art, New York
New York    |Franklin D. Roosevelt Library and Museum, Hyde Park
New York    |Martin Van Buren Estate, Kinderhook
New York    |National Baseball Hall of Fame, Cooperstown
New York    |West Point (U.S. Military Academy)
New York    |Saratoga National Historical Park
New York    |Fort Ticonderoga
North Carolina  |Guilford Courthouse, National Military Park
North Carolina  |Biltmore Estate, Home of the Vanderbilts
North Carolina  |Historic Latta Plantation, near Charlotte
North Carolina  |Great Smoky Mountains National Park
South Carolina  |Fort Sumter
Ohio    |United States Air Force Museum, near Dayton
Oklahoma   |Oklahoma City National Memorial
Oregon |Lewis and Clark National and State Historical Parks
Pennsylvania    |Gettysburg Battlefield
Pennsylvania    |National Civil War Museum, Harrisburg
Pennsylvania    |Fredericksburg and Spotsylvania National Military Park
Pennsylvania    |Independence Hall, Philadelphia
Pennsylvania    |National Constitution Center, Philadelphia
Pennsylvania    |Valley Forge National Historic Park
Pennsylvania    |Pennsylvania Dutch Country
Pennsylvania    |Railroad Museum of Pennsylvania, Strasburg
Rhode Island    |Touro Synagogue, Newport
Rhode Island    |Newport Mansions
North Dakota    |Theodore Roosevelt National Park
North Dakota    |Fort Union Trading Post
North Dakota    |Theodore Roosevelt National Park
North Dakota    |Fort Union Trading Post
North Dakota    |Mount Rushmore National Memorial
North Dakota    |Badlands National Park
North Dakota    |Black Hills National Forest
Tennessee   |The Hermitage, Home of Andrew Jackson, near Nashville
Tennessee   |Chickamauga and Chattanooga National Military Park
Tennessee   |Shiloh National Military Park
Tennessee   |National Civil Rights Museum, Memphis
Tennessee   |Great Smoky Mountains National Park
